date,cc_open,cc_occupied
2022-11-14,652,457
2022-11-15,657,491
2022-11-16,632,474
2022-11-17,635,475
2022-11-18,642,479
2022-11-19,671,489
2022-11-20,663,466
2022-11-21,650,457
2022-11-22,658,480
2022-11-23,657,492
2022-11-24,659,491
2022-11-25,662,495
2022-11-26,639,478
2022-11-27,628,461
2022-11-28,648,457
2022-11-29,625,463
2022-11-30,631,473
2022-12-01,642,492
2022-12-02,658,494
2022-12-03,654,478
2022-12-04,644,455
2022-12-05,653,467
2022-12-06,656,475
2022-12-07,660,494
2022-12-08,659,493
2022-12-09,663,490
2022-12-10,660,466
2022-12-11,658,448
2022-12-12,649,446
2022-12-13,644,487
2022-12-14,652,503
2022-12-15,641,499
2022-12-16,649,495
2022-12-17,653,513
2022-12-18,652,488
2022-12-19,642,477
2022-12-20,632,496
2022-12-21,659,513
2022-12-22,659,525
2022-12-23,657,519
2022-12-24,658,500
2022-12-25,661,471
2022-12-26,657,472
2022-12-27,651,489
2022-12-28,655,489
2022-12-29,642,504
2022-12-30,645,517
2022-12-31,642,527
2023-01-01,643,508
2023-01-02,651,514
2023-01-03,644,512
2023-01-04,655,542
2023-01-05,660,536
2023-01-06,649,517
2023-01-07,654,504
2023-01-08,658,492
2023-01-09,641,484
2023-01-10,651,505
2023-01-11,655,523
2023-01-12,651,523
2023-01-13,652,519
2023-01-14,656,494
2023-01-15,660,434
2023-01-16,649,454
2023-01-17,655,488
2023-01-18,652,502
2023-01-19,646,490
2023-01-20,641,483
2023-01-21,643,461
2023-01-22,641,450
2023-01-23,640,444
2023-01-24,645,474
2023-01-25,644,498
2023-01-26,646,489
2023-01-27,653,485
2023-01-28,646,477
2023-01-29,647,455
2023-01-30,636,442
2023-01-31,643,468
2023-02-01,647,481
2023-02-02,650,496
2023-02-03,650,487
2023-02-04,653,495
2023-02-05,652,461
2023-02-06,631,444
2023-02-07,639,461
2023-02-08,640,455
2023-02-09,648,473
2023-02-10,633,463
2023-02-11,632,445
2023-02-12,632,424
2023-02-13,638,432
2023-02-14,643,458
2023-02-15,643,461
2023-02-16,642,464
2023-02-17,645,472
2023-02-18,649,469
2023-02-19,642,453
2023-02-20,632,460
2023-02-21,620,448
2023-02-22,644,474
2023-02-23,651,478
2023-02-24,652,488
2023-02-25,651,480
2023-02-26,649,466
2023-02-27,634,448
2023-02-28,643,469
2023-03-01,644,469
2023-03-02,648,497
2023-03-03,649,499
2023-03-04,646,480
2023-03-05,646,458
2023-03-06,625,430
2023-03-07,632,470
2023-03-08,643,505
2023-03-09,643,510
2023-03-10,645,496
2023-03-11,647,473
2023-03-12,645,459
