week_ended,week_number,total_registrations,total_occurrences,covid_registrations,covid_occurrences
2020-01-03,1,1240,1227,0,0
2020-01-10,2,1339,1196,0,0
2020-01-17,3,1278,1131,0,0
2020-01-24,4,1187,1075,0,0
2020-01-31,5,1136,1113,0,0
2020-02-07,6,1072,1036,0,0
2020-02-14,7,1059,1074,0,0
2020-02-21,8,1087,1053,0,0
2020-02-28,9,1078,1057,0,0
2020-03-06,10,1111,1051,0,0
2020-03-13,11,1053,1060,0,0
2020-03-20,12,1012,1075,5,11
2020-03-27,13,982,1156,12,61
2020-04-03,14,1436,1424,174,293
2020-04-10,15,1503,1894,374,603
2020-04-17,16,1960,1917,690,693
2020-04-24,17,2095,1862,755,693
2020-05-01,18,1844,1667,647,590
2020-05-08,19,1328,1489,432,463
2020-05-15,20,1589,1275,452,341
2020-05-22,21,1236,1166,297,264
2020-05-29,22,1046,1053,237,222
2020-06-05,23,1090,1037,210,186
2020-06-12,24,980,935,136,130
2020-06-19,25,952,878,111,82
2020-06-26,26,922,984,69,73
2020-07-03,27,875,850,58,54
2020-07-10,28,848,811,47,38
2020-07-17,29,843,844,30,24
2020-07-24,30,817,815,32,29
2020-07-31,31,837,850,23,18
2020-08-07,32,851,854,16,14
2020-08-14,33,853,859,13,11
2020-08-21,34,870,897,12,16
2020-08-28,35,922,889,13,14
2020-09-04,36,780,846,10,10
2020-09-11,37,952,909,14,19
2020-09-18,38,939,939,21,21
2020-09-25,39,965,866,29,32
2020-10-02,40,978,979,30,36
2020-10-09,41,1067,1006,52,72
2020-10-16,42,1001,1016,87,104
2020-10-23,43,1111,1156,159,220
2020-10-30,44,1168,1197,204,267
2020-11-06,45,1294,1274,329,396
2020-11-13,46,1350,1385,450,507
2020-11-20,47,1441,1361,481,490
2020-11-27,48,1501,1427,537,509
2020-12-04,49,1403,1307,444,425
2020-12-11,50,1326,1345,390,394
2020-12-18,51,1380,1274,394,361
2020-12-25,52,1130,1187,285,317
2021-01-01,53,886,1283,266,375
2021-01-08,1,1640,1273,425,349
2021-01-15,2,1408,1306,394,410
2021-01-22,3,1426,1394,459,476
2021-01-29,4,1485,1296,462,414
2021-02-05,5,1326,1316,385,422
2021-02-12,6,1274,1139,347,308
2021-02-19,7,1261,1133,320,272
2021-02-26,8,1196,1026,249,204
2021-03-05,9,1100,970,187,149
2021-03-12,10,1037,933,139,120
2021-03-19,11,1031,798,110,67
