week_ended,week_number,total_registrations,total_occurrences,covid_registrations,covid_occurrences
2020-01-03,1,1112,1109,0,0
2020-01-10,2,1273,1129,0,0
2020-01-17,3,1076,1023,0,0
2020-01-24,4,1028,957,0,0
2020-01-31,5,1093,1007,0,0
2020-02-07,6,987,1001,0,0
2020-02-14,7,967,967,0,0
2020-02-21,8,1032,1085,0,0
2020-02-28,9,1087,1012,0,0
2020-03-06,10,982,935,0,2
2020-03-13,11,964,964,0,17
2020-03-20,12,1008,1315,44,168
2020-03-27,13,1298,2021,241,722
2020-04-03,14,2510,3021,1170,1517
2020-04-10,15,2832,3503,1506,1971
2020-04-17,16,3275,2749,1818,1501
2020-04-24,17,2785,2065,1406,986
2020-05-01,18,1953,1407,785,531
2020-05-08,19,1213,1193,439,399
2020-05-15,20,1329,1025,365,230
2020-05-22,21,1125,1012,220,157
2020-05-29,22,841,781,115,100
2020-06-05,23,891,814,113,81
2020-06-12,24,883,834,71,50
2020-06-19,25,896,786,50,37
2020-06-26,26,791,862,35,34
2020-07-03,27,837,785,43,22
2020-07-10,28,803,801,28,19
2020-07-17,29,806,775,18,17
2020-07-24,30,816,797,16,18
2020-07-31,31,773,738,22,9
2020-08-07,32,832,827,8,9
2020-08-14,33,928,1090,18,14
2020-08-21,34,920,791,10,4
2020-08-28,35,810,771,4,3
2020-09-04,36,737,812,2,4
2020-09-11,37,898,779,6,10
2020-09-18,38,844,830,13,12
2020-09-25,39,869,866,23,29
2020-10-02,40,899,912,31,32
2020-10-09,41,902,911,34,42
2020-10-16,42,923,855,43,43
2020-10-23,43,922,879,47,55
2020-10-30,44,888,982,76,100
2020-11-06,45,952,983,87,107
2020-11-13,46,1112,965,124,132
2020-11-20,47,1086,1006,160,179
2020-11-27,48,1012,1035,190,202
2020-12-04,49,1029,1068,211,223
2020-12-11,50,1065,1140,200,227
2020-12-18,51,1167,1185,241,311
2020-12-25,52,1090,1398,299,483
2021-01-01,53,1159,1800,492,849
2021-01-08,1,2138,2240,1047,1235
2021-01-15,2,2346,2404,1272,1408
2021-01-22,3,2417,2416,1400,1441
2021-01-29,4,2302,1952,1265,1069
2021-02-05,5,1922,1530,982,768
2021-02-12,6,1545,1306,718,530
2021-02-19,7,1367,1273,461,411
2021-02-26,8,1261,1099,350,262
2021-03-05,9,1093,961,226,174
2021-03-12,10,976,870,167,116
2021-03-19,11,917,872,116,75
2021-03-26,12,914,870,78,54
2021-04-02,13,741,854,48,44
2021-04-09,14,816,869,38,34
2021-04-16,15,970,829,56,32
2021-04-23,16,986,893,39,15
2021-04-30,17,908,816,33,16
2021-05-07,18,792,829,27,16
2021-05-14,19,908,849,19,8
2021-05-21,20,888,824,14,10
2021-05-28,21,880,782,22,14
2021-06-04,22,731,833,13,9
2021-06-11,23,967,798,19,14
2021-06-18,24,829,762,19,18
2021-06-25,25,803,813,16,11
2021-07-02,26,827,839,18,17
2021-07-09,27,900,787,20,18
2021-07-16,28,894,856,20,23
2021-07-23,29,914,913,35,56
2021-07-30,30,942,823,50,57
2021-08-06,31,888,820,70,76
2021-08-13,32,916,860,72,71
2021-08-20,33,881,909,81,90
2021-08-27,34,933,842,107,91
2021-09-03,35,861,901,76,92
2021-09-10,36,1052,1022,95,93
2021-09-17,37,1046,867,83,76
2021-09-24,38,981,864,78,85
2021-10-01,39,990,894,107,104
2021-10-08,40,1023,935,84,71
2021-10-15,41,1062,917,86,74
2021-10-22,42,985,876,74,71
2021-10-29,43,986,788,80,62
