date,areaName,admissions,admissionsRollingRate,patients,patientsMv
2020-03-01,Northern Ireland,,,11,
2020-03-02,Northern Ireland,1,,12,
2020-03-03,Northern Ireland,0,,12,
2020-03-04,Northern Ireland,0,,12,
2020-03-05,Northern Ireland,1,,13,
2020-03-06,Northern Ireland,3,,16,
2020-03-07,Northern Ireland,0,,16,
2020-03-08,Northern Ireland,0,0.3,16,
2020-03-09,Northern Ireland,1,0.3,17,
2020-03-10,Northern Ireland,4,0.5,21,
2020-03-11,Northern Ireland,4,0.7,25,
2020-03-12,Northern Ireland,3,0.8,28,
2020-03-13,Northern Ireland,2,0.7,29,
2020-03-14,Northern Ireland,2,0.8,31,
2020-03-15,Northern Ireland,1,0.9,31,
2020-03-16,Northern Ireland,4,1.1,35,
2020-03-17,Northern Ireland,5,1.1,37,
2020-03-18,Northern Ireland,8,1.3,43,
2020-03-19,Northern Ireland,5,1.4,44,
2020-03-20,Northern Ireland,12,2.0,56,
2020-03-21,Northern Ireland,15,2.6,70,
2020-03-22,Northern Ireland,10,3.1,77,
2020-03-23,Northern Ireland,18,3.9,87,6
2020-03-24,Northern Ireland,15,4.4,94,2
2020-03-25,Northern Ireland,29,5.5,116,10
2020-03-26,Northern Ireland,28,6.7,140,10
2020-03-27,Northern Ireland,30,7.7,158,15
2020-03-28,Northern Ireland,37,8.8,188,19
2020-03-29,Northern Ireland,34,10.1,207,26
2020-03-30,Northern Ireland,35,11.0,227,25
2020-03-31,Northern Ireland,43,12.5,252,32
2020-04-01,Northern Ireland,45,13.3,280,46
2020-04-02,Northern Ireland,44,14.2,305,47
2020-04-03,Northern Ireland,44,14.9,306,46
2020-04-04,Northern Ireland,41,15.1,330,45
2020-04-05,Northern Ireland,29,14.8,330,44
2020-04-06,Northern Ireland,42,15.2,346,44
2020-04-07,Northern Ireland,39,15.0,354,49
2020-04-08,Northern Ireland,32,14.3,357,46
2020-04-09,Northern Ireland,33,13.7,347,44
2020-04-10,Northern Ireland,20,12.5,317,48
2020-04-11,Northern Ireland,22,11.5,318,48
2020-04-12,Northern Ireland,22,11.1,316,46
2020-04-13,Northern Ireland,17,9.8,308,39
2020-04-14,Northern Ireland,22,8.9,296,38
2020-04-15,Northern Ireland,23,8.4,278,36
2020-04-16,Northern Ireland,33,8.4,283,33
2020-04-17,Northern Ireland,32,9.0,290,34
2020-04-18,Northern Ireland,15,8.7,287,33
2020-04-19,Northern Ireland,22,8.7,298,29
2020-04-20,Northern Ireland,33,9.5,304,31
2020-04-21,Northern Ireland,31,10.0,312,34
2020-04-22,Northern Ireland,27,10.2,310,31
2020-04-23,Northern Ireland,23,9.7,301,33
2020-04-24,Northern Ireland,22,9.1,295,29
2020-04-25,Northern Ireland,19,9.3,298,31
2020-04-26,Northern Ireland,11,8.8,289,27
2020-04-27,Northern Ireland,23,8.2,286,27
2020-04-28,Northern Ireland,11,7.2,277,27
2020-04-29,Northern Ireland,17,6.7,270,26
2020-04-30,Northern Ireland,27,6.9,275,25
2020-05-01,Northern Ireland,19,6.7,269,22
2020-05-02,Northern Ireland,12,6.3,268,23
2020-05-03,Northern Ireland,10,6.3,264,21
2020-05-04,Northern Ireland,13,5.8,260,21
2020-05-05,Northern Ireland,11,5.8,243,21
2020-05-06,Northern Ireland,17,5.8,239,22
2020-05-07,Northern Ireland,12,5.0,231,22
2020-05-08,Northern Ireland,7,4.3,220,23
2020-05-09,Northern Ireland,19,4.7,232,19
2020-05-10,Northern Ireland,18,5.1,241,16
2020-05-11,Northern Ireland,22,5.6,248,13
2020-05-12,Northern Ireland,10,5.5,244,14
2020-05-13,Northern Ireland,16,5.5,245,12
2020-05-14,Northern Ireland,13,5.5,226,12
2020-05-15,Northern Ireland,11,5.8,210,10
2020-05-16,Northern Ireland,7,5.1,206,12
2020-05-17,Northern Ireland,12,4.8,208,13
2020-05-18,Northern Ireland,11,4.2,202,9
2020-05-19,Northern Ireland,10,4.2,197,7
2020-05-20,Northern Ireland,5,3.6,181,5
2020-05-21,Northern Ireland,8,3.4,172,6
2020-05-22,Northern Ireland,5,3.1,164,4
2020-05-23,Northern Ireland,4,2.9,162,5
2020-05-24,Northern Ireland,4,2.5,161,4
2020-05-25,Northern Ireland,9,2.4,159,5
2020-05-26,Northern Ireland,10,2.4,158,5
2020-05-27,Northern Ireland,6,2.4,149,5
2020-05-28,Northern Ireland,6,2.3,144,5
2020-05-29,Northern Ireland,6,2.4,136,4
2020-05-30,Northern Ireland,5,2.4,137,4
2020-05-31,Northern Ireland,4,2.4,139,4
2020-06-01,Northern Ireland,3,2.1,127,4
2020-06-02,Northern Ireland,4,1.8,119,5
2020-06-03,Northern Ireland,3,1.6,108,3
2020-06-04,Northern Ireland,3,1.5,96,7
2020-06-05,Northern Ireland,3,1.3,92,6
2020-06-06,Northern Ireland,3,1.2,89,6
2020-06-07,Northern Ireland,1,1.1,89,4
2020-06-08,Northern Ireland,2,1.0,89,4
2020-06-09,Northern Ireland,6,1.1,84,3
2020-06-10,Northern Ireland,5,1.2,82,5
2020-06-11,Northern Ireland,5,1.3,76,6
2020-06-12,Northern Ireland,2,1.3,70,5
2020-06-13,Northern Ireland,2,1.2,68,4
2020-06-14,Northern Ireland,0,1.2,67,4
2020-06-15,Northern Ireland,0,1.1,66,4
2020-06-16,Northern Ireland,1,0.8,59,3
2020-06-17,Northern Ireland,1,0.6,53,2
2020-06-18,Northern Ireland,0,0.3,50,2
