date,areaName,admissions,admissionsRollingRate,patients,patientsMv
2020-01-03,United Kingdom,,0,,
2020-01-04,United Kingdom,,0,,
2020-01-05,United Kingdom,,0,,
2020-01-06,United Kingdom,,0,,
2020-01-07,United Kingdom,,0,,
2020-01-08,United Kingdom,,0,,
2020-01-09,United Kingdom,,0,,
2020-01-10,United Kingdom,,0,,
2020-01-11,United Kingdom,,0,,
2020-01-12,United Kingdom,,0,,
2020-01-13,United Kingdom,,0,,
2020-01-14,United Kingdom,,0,,
2020-01-15,United Kingdom,,0,,
2020-01-16,United Kingdom,,0,,
2020-01-17,United Kingdom,,0,,
2020-01-18,United Kingdom,,0,,
2020-01-19,United Kingdom,,0,,
2020-01-20,United Kingdom,,0,,
2020-01-21,United Kingdom,,0,,
2020-01-22,United Kingdom,,0,,
2020-01-23,United Kingdom,,0,,
2020-01-24,United Kingdom,,0,,
2020-01-25,United Kingdom,,0,,
2020-01-26,United Kingdom,,0,,
2020-01-27,United Kingdom,,0,,
2020-01-28,United Kingdom,,0,,
2020-01-29,United Kingdom,,0,,
2020-01-30,United Kingdom,,0,,
2020-01-31,United Kingdom,,0,,
2020-02-01,United Kingdom,,0,,
2020-02-02,United Kingdom,,0,,
2020-02-03,United Kingdom,,0,,
2020-02-04,United Kingdom,,0,,
2020-02-05,United Kingdom,,0,,
2020-02-06,United Kingdom,,0,,
2020-02-07,United Kingdom,,0,,
2020-02-08,United Kingdom,,0,,
2020-02-09,United Kingdom,,0,,
2020-02-10,United Kingdom,,0,,
2020-02-11,United Kingdom,,0,,
2020-02-12,United Kingdom,,0,,
2020-02-13,United Kingdom,,0,,
2020-02-14,United Kingdom,,0,,
2020-02-15,United Kingdom,,0,,
2020-02-16,United Kingdom,,0,,
2020-02-17,United Kingdom,,0,,
2020-02-18,United Kingdom,,0,,
2020-02-19,United Kingdom,,0,,
2020-02-20,United Kingdom,,0,,
2020-02-21,United Kingdom,,0,,
2020-02-22,United Kingdom,,0,,
2020-02-23,United Kingdom,,0,,
2020-02-24,United Kingdom,,0,,
2020-02-25,United Kingdom,,0,,
2020-02-26,United Kingdom,,0,,
2020-02-27,United Kingdom,,0,,
2020-02-28,United Kingdom,,0,,
2020-02-29,United Kingdom,,0,,
2020-03-01,United Kingdom,,0,,
2020-03-02,United Kingdom,,0,,
2020-03-03,United Kingdom,,0,,
2020-03-04,United Kingdom,,0,,
2020-03-05,United Kingdom,,0,,
2020-03-06,United Kingdom,,0,,
2020-03-07,United Kingdom,,0,,
2020-03-08,United Kingdom,,0,,
2020-03-09,United Kingdom,,0,,
2020-03-10,United Kingdom,,0,,
2020-03-11,United Kingdom,,0,,
2020-03-12,United Kingdom,,0,,
2020-03-13,United Kingdom,,0,,
2020-03-14,United Kingdom,,0,,
2020-03-15,United Kingdom,,0,,
2020-03-16,United Kingdom,,0,,
2020-03-17,United Kingdom,,0,,
2020-03-18,United Kingdom,,0,,
2020-03-19,United Kingdom,,0,,
2020-03-20,United Kingdom,,0,,
2020-03-21,United Kingdom,,0,,
2020-03-22,United Kingdom,,0,,
2020-03-23,United Kingdom,1272,0,,
2020-03-24,United Kingdom,1719,0,,
2020-03-25,United Kingdom,2085,0,,
2020-03-26,United Kingdom,1929,0,,
2020-03-27,United Kingdom,2225,0,7264,
2020-03-28,United Kingdom,2191,0,8275,
2020-03-29,United Kingdom,2490,20.800000000000000711,9522,
2020-03-30,United Kingdom,3190,23.699999999999999289,11090,
2020-03-31,United Kingdom,2833,25.399999999999998579,12595,
2020-04-01,United Kingdom,3565,27.600000000000001421,13635,
2020-04-02,United Kingdom,3283,29.600000000000001421,13873,1813
2020-04-03,United Kingdom,2930,30.699999999999999289,15545,2120
2020-04-04,United Kingdom,2921,31.800000000000000711,17500,2309
2020-04-05,United Kingdom,2914,32.399999999999998579,18852,2469
2020-04-06,United Kingdom,3046,32.200000000000002842,19490,2644
2020-04-07,United Kingdom,3150,32.600000000000001421,20231,2864
2020-04-08,United Kingdom,2967,31.800000000000000711,20737,2967
2020-04-09,United Kingdom,2628,30.800000000000000711,21002,2963
2020-04-10,United Kingdom,2463,30.100000000000001421,21277,3228
2020-04-11,United Kingdom,2162,28.899999999999998579,21251,3274
2020-04-12,United Kingdom,2066,27.699999999999999289,21684,3301
2020-04-13,United Kingdom,2160,26.300000000000000711,21304,3277
2020-04-14,United Kingdom,2088,24.800000000000000711,21277,3234
2020-04-15,United Kingdom,1880,23.100000000000001421,20578,3228
2020-04-16,United Kingdom,2011,22.199999999999999289,20385,3222
2020-04-17,United Kingdom,1966,21.5,19326,3162
2020-04-18,United Kingdom,1629,20.699999999999999289,19453,3247
2020-04-19,United Kingdom,1657,20,19570,3176
2020-04-20,United Kingdom,1737,19.399999999999998579,19327,3130
2020-04-21,United Kingdom,1713,18.899999999999998579,19136,3036
2020-04-22,United Kingdom,1528,18.300000000000000711,18530,2964
2020-04-23,United Kingdom,1513,17.600000000000001421,17864,2867
2020-04-24,United Kingdom,1526,16.899999999999998579,17060,2703
2020-04-25,United Kingdom,1255,16.399999999999998579,16602,2702
2020-04-26,United Kingdom,1355,15.900000000000000355,16553,2580
2020-04-27,United Kingdom,1538,15.599999999999999645,16659,2460
2020-04-28,United Kingdom,1518,15.300000000000000711,15874,2353
2020-04-29,United Kingdom,1488,15.300000000000000711,15518,2286
2020-04-30,United Kingdom,1443,15.199999999999999289,15161,2224
2020-05-01,United Kingdom,1263,14.800000000000000711,14720,2178
2020-05-02,United Kingdom,1180,14.599999999999999645,14377,2068
2020-05-03,United Kingdom,1187,14.400000000000000355,14185,2009
2020-05-04,United Kingdom,1249,14,14093,1936
2020-05-05,United Kingdom,1146,13.400000000000000355,13719,1874
2020-05-06,United Kingdom,1206,13,13144,1802
2020-05-07,United Kingdom,1165,12.599999999999999645,12623,1685
2020-05-08,United Kingdom,910,12,12050,1642
2020-05-09,United Kingdom,943,11.699999999999999289,12018,1585
2020-05-10,United Kingdom,915,11.300000000000000711,11724,1538
2020-05-11,United Kingdom,1029,10.900000000000000355,11964,1485
2020-05-12,United Kingdom,983,10.699999999999999289,11588,1414
2020-05-13,United Kingdom,965,10.300000000000000711,11339,1342
2020-05-14,United Kingdom,908,10,10917,1314
2020-05-15,United Kingdom,868,9.9000000000000003553,10687,1337
2020-05-16,United Kingdom,813,9.6999999999999992895,10234,1234
2020-05-17,United Kingdom,792,9.5,10195,1196
2020-05-18,United Kingdom,849,9.1999999999999992895,10228,1141
2020-05-19,United Kingdom,880,9.0999999999999996447,10010,1106
2020-05-20,United Kingdom,850,8.9000000000000003553,9560,1034
2020-05-21,United Kingdom,841,8.8000000000000007105,9290,1008
2020-05-22,United Kingdom,739,8.5999999999999996447,9182,964
2020-05-23,United Kingdom,643,8.4000000000000003553,8812,928
2020-05-24,United Kingdom,587,8.0999999999999996447,8812,886
2020-05-25,United Kingdom,602,7.7000000000000001776,8834,863
2020-05-26,United Kingdom,697,7.4000000000000003553,8729,847
2020-05-27,United Kingdom,711,7.2000000000000001776,8216,783
2020-05-28,United Kingdom,702,7,7904,751
2020-05-29,United Kingdom,615,6.7999999999999998224,7584,719
2020-05-30,United Kingdom,568,6.7000000000000001776,7265,704
2020-05-31,United Kingdom,528,6.5999999999999996447,7235,679
2020-06-01,United Kingdom,605,6.5999999999999996447,7245,652
2020-06-02,United Kingdom,668,6.5999999999999996447,7083,636
