date,areaName,cases,casesRollingRate,casesReported
2020-03-01,Northern Ireland,,,
2020-03-02,Northern Ireland,,,
2020-03-03,Northern Ireland,,,
2020-03-04,Northern Ireland,,,
2020-03-05,Northern Ireland,2,0.1,
2020-03-06,Northern Ireland,2,0.2,2
2020-03-07,Northern Ireland,5,0.5,2
2020-03-08,Northern Ireland,3,0.6,5
2020-03-09,Northern Ireland,3,0.8,3
2020-03-10,Northern Ireland,5,1.1,0
2020-03-11,Northern Ireland,11,1.6,2
2020-03-12,Northern Ireland,4,1.7,1
2020-03-13,Northern Ireland,11,2.2,10
2020-03-14,Northern Ireland,10,2.5,5
2020-03-15,Northern Ireland,2,2.4,11
2020-03-16,Northern Ireland,8,2.7,7
2020-03-17,Northern Ireland,8,2.8,10
2020-03-18,Northern Ireland,13,3.0,6
2020-03-19,Northern Ireland,14,3.5,9
2020-03-20,Northern Ireland,17,3.8,9
2020-03-21,Northern Ireland,20,4.3,22
2020-03-22,Northern Ireland,18,5.2,20
2020-03-23,Northern Ireland,41,6.9,20
2020-03-24,Northern Ireland,40,8.6,24
2020-03-25,Northern Ireland,56,10.9,37
2020-03-26,Northern Ireland,76,14.1,32
2020-03-27,Northern Ireland,67,16.8,34
2020-03-28,Northern Ireland,75,19.7,49
2020-03-29,Northern Ireland,61,21.9,86
2020-03-30,Northern Ireland,82,24.1,123
2020-03-31,Northern Ireland,110,27.8,53
2020-04-01,Northern Ireland,100,30.1,103
2020-04-02,Northern Ireland,104,31.6,85
2020-04-03,Northern Ireland,101,33.4,130
2020-04-04,Northern Ireland,85,33.9,94
2020-04-05,Northern Ireland,60,33.9,91
2020-04-06,Northern Ireland,104,35.0,69
2020-04-07,Northern Ireland,129,36.0,97
2020-04-08,Northern Ireland,101,36.1,84
2020-04-09,Northern Ireland,97,35.7,138
2020-04-10,Northern Ireland,94,35.3,112
2020-04-11,Northern Ireland,66,34.3,128
2020-04-12,Northern Ireland,73,35.0,89
2020-04-13,Northern Ireland,106,35.1,76
2020-04-14,Northern Ireland,94,33.3,85
2020-04-15,Northern Ireland,132,34.9,121
2020-04-16,Northern Ireland,137,37.0,113
2020-04-17,Northern Ireland,154,40.2,137
2020-04-18,Northern Ireland,84,41.1,148
2020-04-19,Northern Ireland,41,39.5,159
2020-04-20,Northern Ireland,112,39.8,83
2020-04-21,Northern Ireland,129,41.6,30
2020-04-22,Northern Ireland,95,39.7,116
2020-04-23,Northern Ireland,72,36.2,142
2020-04-24,Northern Ireland,82,32.4,106
2020-04-25,Northern Ireland,52,30.8,104
2020-04-26,Northern Ireland,44,30.9,82
2020-04-27,Northern Ireland,70,28.7,66
2020-04-28,Northern Ireland,71,25.6,34
2020-04-29,Northern Ireland,90,25.4,55
2020-04-30,Northern Ireland,114,27.6,73
2020-05-01,Northern Ireland,95,28.3,87
2020-05-02,Northern Ireland,87,30.1,66
2020-05-03,Northern Ireland,51,30.5,78
2020-05-04,Northern Ireland,72,30.6,69
2020-05-05,Northern Ireland,69,30.5,45
2020-05-06,Northern Ireland,79,29.9,53
2020-05-07,Northern Ireland,96,29.0,50
2020-05-08,Northern Ireland,71,27.7,38
2020-05-09,Northern Ireland,53,25.9,56
2020-05-10,Northern Ireland,58,26.3,41
2020-05-11,Northern Ireland,74,26.4,30
2020-05-12,Northern Ireland,88,27.4,44
2020-05-13,Northern Ireland,73,27.1,60
2020-05-14,Northern Ireland,71,25.7,38
2020-05-15,Northern Ireland,63,25.3,26
2020-05-16,Northern Ireland,39,24.6,40
2020-05-17,Northern Ireland,35,23.4,28
2020-05-18,Northern Ireland,60,22.6,16
2020-05-19,Northern Ireland,68,21.6,20
2020-05-20,Northern Ireland,71,21.5,18
2020-05-21,Northern Ireland,56,20.7,42
2020-05-22,Northern Ireland,33,19.1,23
2020-05-23,Northern Ireland,53,19.8,41
2020-05-24,Northern Ireland,27,19.4,25
2020-05-25,Northern Ireland,38,18.3,39
2020-05-26,Northern Ireland,26,16.0,28
2020-05-27,Northern Ireland,32,14.0,26
2020-05-28,Northern Ireland,27,12.5,16
2020-05-29,Northern Ireland,20,11.8,17
2020-05-30,Northern Ireland,12,9.6,13
2020-05-31,Northern Ireland,25,9.5,7
2020-06-01,Northern Ireland,22,8.7,12
2020-06-02,Northern Ireland,20,8.3,4
2020-06-03,Northern Ireland,11,7.2,8
2020-06-04,Northern Ireland,11,6.4,33
2020-06-05,Northern Ireland,23,6.5,3
2020-06-06,Northern Ireland,8,6.3,14
2020-06-07,Northern Ireland,4,5.2,6
2020-06-08,Northern Ireland,13,4.7,6
2020-06-09,Northern Ireland,11,4.3,3
2020-06-10,Northern Ireland,16,4.5,13
2020-06-11,Northern Ireland,10,4.5,4
2020-06-12,Northern Ireland,10,3.8,16
2020-06-13,Northern Ireland,10,3.9,3
2020-06-14,Northern Ireland,8,4.1,7
2020-06-15,Northern Ireland,19,4.4,4
2020-06-16,Northern Ireland,11,4.4,2
2020-06-17,Northern Ireland,5,3.9,8
2020-06-18,Northern Ireland,7,3.7,1
2020-06-19,Northern Ireland,12,3.8,3
2020-06-20,Northern Ireland,5,3.5,0
2020-06-21,Northern Ireland,3,3.3,4
2020-06-22,Northern Ireland,4,2.5,1
2020-06-23,Northern Ireland,8,2.3,0
2020-06-24,Northern Ireland,4,2.3,2
2020-06-25,Northern Ireland,4,2.1,1
2020-06-26,Northern Ireland,3,1.6,4
2020-06-27,Northern Ireland,4,1.6,2
2020-06-28,Northern Ireland,5,1.7,1
2020-06-29,Northern Ireland,4,1.7,6
2020-06-30,Northern Ireland,2,1.4,3
2020-07-01,Northern Ireland,4,1.4,1
2020-07-02,Northern Ireland,3,1.3,7
2020-07-03,Northern Ireland,8,1.6,4
2020-07-04,Northern Ireland,1,1.4,0
2020-07-05,Northern Ireland,2,1.3,0
2020-07-06,Northern Ireland,7,1.4,0
2020-07-07,Northern Ireland,4,1.5,5
2020-07-08,Northern Ireland,6,1.6,4
2020-07-09,Northern Ireland,5,1.7,3
2020-07-10,Northern Ireland,4,1.5,4
2020-07-11,Northern Ireland,6,1.8,0
2020-07-12,Northern Ireland,4,1.9,0
2020-07-13,Northern Ireland,3,1.7,0
2020-07-14,Northern Ireland,7,1.8,2
2020-07-15,Northern Ireland,15,2.3,9
2020-07-16,Northern Ireland,19,3.1,16
2020-07-17,Northern Ireland,8,3.3,19
2020-07-18,Northern Ireland,6,3.3,0
2020-07-19,Northern Ireland,3,3.2,0
2020-07-20,Northern Ireland,3,3.2,0
2020-07-21,Northern Ireland,12,3.5,2
2020-07-22,Northern Ireland,8,3.1,9
2020-07-23,Northern Ireland,12,2.7,8
2020-07-24,Northern Ireland,13,3.0,15
2020-07-25,Northern Ireland,4,2.9,0
2020-07-26,Northern Ireland,1,2.8,0
2020-07-27,Northern Ireland,10,3.2,0
2020-07-28,Northern Ireland,13,3.2,9
2020-07-29,Northern Ireland,9,3.3,9
2020-07-30,Northern Ireland,10,3.2,8
2020-07-31,Northern Ireland,12,3.1,10
2020-08-01,Northern Ireland,10,3.4,0
2020-08-02,Northern Ireland,8,3.8,0
2020-08-03,Northern Ireland,18,4.2,0
2020-08-04,Northern Ireland,17,4.4,8
2020-08-05,Northern Ireland,29,5.5,10
2020-08-06,Northern Ireland,17,5.9,43
2020-08-07,Northern Ireland,16,6.1,15
2020-08-08,Northern Ireland,26,6.9,0
2020-08-09,Northern Ireland,25,7.8,0
2020-08-10,Northern Ireland,42,9.1,0
2020-08-11,Northern Ireland,36,10.1,48
2020-08-12,Northern Ireland,38,10.6,29
2020-08-13,Northern Ireland,49,12.2,8
2020-08-14,Northern Ireland,54,14.2,74
2020-08-15,Northern Ireland,21,14.0,65
2020-08-16,Northern Ireland,20,13.7,27
2020-08-17,Northern Ireland,50,14.1,39
2020-08-18,Northern Ireland,41,14.4,41
2020-08-19,Northern Ireland,38,14.4,34
2020-08-20,Northern Ireland,68,15.4,51
2020-08-21,Northern Ireland,76,16.6,20
2020-08-22,Northern Ireland,42,17.7,71
2020-08-23,Northern Ireland,44,18.9,119
2020-08-24,Northern Ireland,44,18.6,10
2020-08-25,Northern Ireland,61,19.7,47
2020-08-26,Northern Ireland,68,21.3,72
2020-08-27,Northern Ireland,70,21.4,69
2020-08-28,Northern Ireland,81,21.6,85
2020-08-29,Northern Ireland,39,21.5,89
2020-08-30,Northern Ireland,35,21.0,49
2020-08-31,Northern Ireland,51,21.4,58
2020-09-01,Northern Ireland,60,21.3,49
2020-09-02,Northern Ireland,88,22.4,71
2020-09-03,Northern Ireland,104,24.2,77
2020-09-04,Northern Ireland,121,26.3,61
2020-09-05,Northern Ireland,86,28.8,118
2020-09-06,Northern Ireland,91,31.7,106
2020-09-07,Northern Ireland,71,32.8,141
2020-09-08,Northern Ireland,55,32.5,40
2020-09-09,Northern Ireland,96,32.9,49
2020-09-10,Northern Ireland,74,31.3,78
2020-09-11,Northern Ireland,71,28.7,88
2020-09-12,Northern Ireland,98,29.3,104
2020-09-13,Northern Ireland,90,29.3,87
2020-09-14,Northern Ireland,111,31.4,109
2020-09-15,Northern Ireland,106,34.1,79
2020-09-16,Northern Ireland,124,35.6,129
2020-09-17,Northern Ireland,157,39.9,149
2020-09-18,Northern Ireland,155,44.4,163
2020-09-19,Northern Ireland,153,47.3,222
2020-09-20,Northern Ireland,116,48.6,176
2020-09-21,Northern Ireland,129,49.6,125
2020-09-22,Northern Ireland,163,52.6,75
2020-09-23,Northern Ireland,212,57.2,220
2020-09-24,Northern Ireland,267,63.0,189
2020-09-25,Northern Ireland,222,66.6,273
2020-09-26,Northern Ireland,251,71.7,319
2020-09-27,Northern Ireland,257,79.2,187
2020-09-28,Northern Ireland,284,87.4,220
2020-09-29,Northern Ireland,374,98.5,320
2020-09-30,Northern Ireland,608,119.4,424
2020-10-01,Northern Ireland,454,129.3,259
