date,areaName,cases,casesRollingRate,casesReported
2020-03-01,Northern Ireland,,,
2020-03-02,Northern Ireland,,,
2020-03-03,Northern Ireland,,,
2020-03-04,Northern Ireland,,,
2020-03-05,Northern Ireland,2,0.1,
2020-03-06,Northern Ireland,2,0.2,2
2020-03-07,Northern Ireland,5,0.5,2
2020-03-08,Northern Ireland,3,0.6,5
2020-03-09,Northern Ireland,3,0.8,3
2020-03-10,Northern Ireland,5,1.1,0
2020-03-11,Northern Ireland,11,1.6,2
2020-03-12,Northern Ireland,4,1.7,1
2020-03-13,Northern Ireland,11,2.2,10
2020-03-14,Northern Ireland,10,2.5,5
2020-03-15,Northern Ireland,2,2.4,11
2020-03-16,Northern Ireland,8,2.7,7
2020-03-17,Northern Ireland,8,2.8,10
2020-03-18,Northern Ireland,13,3.0,6
2020-03-19,Northern Ireland,14,3.5,9
2020-03-20,Northern Ireland,17,3.8,9
2020-03-21,Northern Ireland,20,4.3,22
2020-03-22,Northern Ireland,18,5.2,20
2020-03-23,Northern Ireland,41,6.9,20
2020-03-24,Northern Ireland,40,8.6,24
2020-03-25,Northern Ireland,56,10.9,37
2020-03-26,Northern Ireland,76,14.1,32
2020-03-27,Northern Ireland,67,16.8,34
2020-03-28,Northern Ireland,76,19.7,49
2020-03-29,Northern Ireland,62,22.1,86
2020-03-30,Northern Ireland,84,24.3,123
2020-03-31,Northern Ireland,111,28.1,53
2020-04-01,Northern Ireland,100,30.4,103
2020-04-02,Northern Ireland,105,31.9,85
2020-04-03,Northern Ireland,102,33.8,130
2020-04-04,Northern Ireland,85,34.2,94
2020-04-05,Northern Ireland,60,34.1,91
2020-04-06,Northern Ireland,104,35.2,69
2020-04-07,Northern Ireland,129,36.1,97
2020-04-08,Northern Ireland,102,36.2,84
2020-04-09,Northern Ireland,99,35.9,138
2020-04-10,Northern Ireland,94,35.5,112
2020-04-11,Northern Ireland,67,34.6,128
2020-04-12,Northern Ireland,73,35.2,89
2020-04-13,Northern Ireland,106,35.3,76
2020-04-14,Northern Ireland,94,33.5,85
2020-04-15,Northern Ireland,132,35.1,121
2020-04-16,Northern Ireland,137,37.1,113
2020-04-17,Northern Ireland,154,40.3,137
2020-04-18,Northern Ireland,84,41.1,148
2020-04-19,Northern Ireland,41,39.5,159
2020-04-20,Northern Ireland,112,39.8,83
2020-04-21,Northern Ireland,129,41.6,30
2020-04-22,Northern Ireland,96,39.7,116
2020-04-23,Northern Ireland,72,36.3,142
2020-04-24,Northern Ireland,82,32.5,106
2020-04-25,Northern Ireland,52,30.8,104
2020-04-26,Northern Ireland,44,31.0,82
2020-04-27,Northern Ireland,71,28.8,66
2020-04-28,Northern Ireland,72,25.8,34
2020-04-29,Northern Ireland,91,25.5,55
2020-04-30,Northern Ireland,114,27.7,73
2020-05-01,Northern Ireland,95,28.4,87
2020-05-02,Northern Ireland,89,30.4,66
2020-05-03,Northern Ireland,52,30.8,78
2020-05-04,Northern Ireland,74,31.0,69
2020-05-05,Northern Ireland,69,30.8,45
2020-05-06,Northern Ireland,79,30.2,53
2020-05-07,Northern Ireland,96,29.2,50
2020-05-08,Northern Ireland,71,28.0,38
2020-05-09,Northern Ireland,53,26.1,56
2020-05-10,Northern Ireland,61,26.5,41
2020-05-11,Northern Ireland,74,26.5,30
2020-05-12,Northern Ireland,88,27.5,44
2020-05-13,Northern Ireland,73,27.2,60
2020-05-14,Northern Ireland,71,25.9,38
2020-05-15,Northern Ireland,63,25.5,26
2020-05-16,Northern Ireland,39,24.7,40
2020-05-17,Northern Ireland,35,23.4,28
2020-05-18,Northern Ireland,60,22.6,16
2020-05-19,Northern Ireland,71,21.7,20
2020-05-20,Northern Ireland,73,21.7,18
2020-05-21,Northern Ireland,56,20.9,42
2020-05-22,Northern Ireland,33,19.4,23
2020-05-23,Northern Ireland,53,20.1,41
2020-05-24,Northern Ireland,27,19.7,25
2020-05-25,Northern Ireland,38,18.5,39
2020-05-26,Northern Ireland,27,16.2,28
2020-05-27,Northern Ireland,32,14.0,26
2020-05-28,Northern Ireland,27,12.5,16
2020-05-29,Northern Ireland,20,11.8,17
2020-05-30,Northern Ireland,12,9.7,13
2020-05-31,Northern Ireland,25,9.5,7
2020-06-01,Northern Ireland,23,8.8,12
2020-06-02,Northern Ireland,20,8.4,4
2020-06-03,Northern Ireland,11,7.3,8
2020-06-04,Northern Ireland,11,6.4,33
2020-06-05,Northern Ireland,23,6.6,3
2020-06-06,Northern Ireland,8,6.4,14
2020-06-07,Northern Ireland,5,5.3,6
2020-06-08,Northern Ireland,14,4.9,6
2020-06-09,Northern Ireland,11,4.4,3
2020-06-10,Northern Ireland,16,4.6,13
2020-06-11,Northern Ireland,10,4.6,4
2020-06-12,Northern Ireland,10,3.9,16
2020-06-13,Northern Ireland,10,4.0,3
2020-06-14,Northern Ireland,8,4.2,7
2020-06-15,Northern Ireland,19,4.4,4
2020-06-16,Northern Ireland,11,4.4,2
2020-06-17,Northern Ireland,5,3.9,8
2020-06-18,Northern Ireland,7,3.7,1
2020-06-19,Northern Ireland,12,3.8,3
2020-06-20,Northern Ireland,5,3.5,0
2020-06-21,Northern Ireland,3,3.3,4
2020-06-22,Northern Ireland,4,2.5,1
2020-06-23,Northern Ireland,8,2.3,0
2020-06-24,Northern Ireland,4,2.3,2
2020-06-25,Northern Ireland,4,2.1,1
2020-06-26,Northern Ireland,3,1.6,4
2020-06-27,Northern Ireland,4,1.6,2
2020-06-28,Northern Ireland,5,1.7,1
2020-06-29,Northern Ireland,4,1.7,6
2020-06-30,Northern Ireland,2,1.4,3
2020-07-01,Northern Ireland,4,1.4,1
2020-07-02,Northern Ireland,3,1.3,7
2020-07-03,Northern Ireland,8,1.6,4
2020-07-04,Northern Ireland,1,1.4,0
2020-07-05,Northern Ireland,2,1.3,0
2020-07-06,Northern Ireland,7,1.4,0
2020-07-07,Northern Ireland,5,1.6,5
2020-07-08,Northern Ireland,6,1.7,4
2020-07-09,Northern Ireland,5,1.8,3
2020-07-10,Northern Ireland,4,1.6,4
2020-07-11,Northern Ireland,6,1.8,0
2020-07-12,Northern Ireland,4,2.0,0
2020-07-13,Northern Ireland,3,1.7,0
2020-07-14,Northern Ireland,7,1.8,2
2020-07-15,Northern Ireland,15,2.3,9
2020-07-16,Northern Ireland,19,3.1,16
2020-07-17,Northern Ireland,8,3.3,19
2020-07-18,Northern Ireland,6,3.3,0
2020-07-19,Northern Ireland,3,3.2,0
2020-07-20,Northern Ireland,3,3.2,0
2020-07-21,Northern Ireland,12,3.5,2
2020-07-22,Northern Ireland,8,3.1,9
2020-07-23,Northern Ireland,12,2.7,8
2020-07-24,Northern Ireland,14,3.1,15
2020-07-25,Northern Ireland,4,3.0,0
2020-07-26,Northern Ireland,1,2.8,0
2020-07-27,Northern Ireland,11,3.3,0
2020-07-28,Northern Ireland,13,3.3,9
2020-07-29,Northern Ireland,10,3.4,9
2020-07-30,Northern Ireland,10,3.3,8
2020-07-31,Northern Ireland,13,3.3,10
2020-08-01,Northern Ireland,10,3.6,0
2020-08-02,Northern Ireland,8,4.0,0
2020-08-03,Northern Ireland,18,4.3,0
2020-08-04,Northern Ireland,17,4.5,8
2020-08-05,Northern Ireland,29,5.5,10
2020-08-06,Northern Ireland,17,5.9,43
2020-08-07,Northern Ireland,16,6.1,15
2020-08-08,Northern Ireland,27,7.0,0
2020-08-09,Northern Ireland,25,7.9,0
2020-08-10,Northern Ireland,43,9.2,0
2020-08-11,Northern Ireland,37,10.2,48
2020-08-12,Northern Ireland,39,10.8,29
2020-08-13,Northern Ireland,50,12.5,8
2020-08-14,Northern Ireland,57,14.7,74
2020-08-15,Northern Ireland,21,14.3,65
2020-08-16,Northern Ireland,20,14.1,27
2020-08-17,Northern Ireland,52,14.6,39
2020-08-18,Northern Ireland,42,14.8,41
2020-08-19,Northern Ireland,40,14.9,34
2020-08-20,Northern Ireland,70,15.9,51
2020-08-21,Northern Ireland,78,17.0,20
2020-08-22,Northern Ireland,42,18.1,71
2020-08-23,Northern Ireland,47,19.6,119
2020-08-24,Northern Ireland,45,19.2,10
2020-08-25,Northern Ireland,65,20.4,47
2020-08-26,Northern Ireland,70,22.0,72
2020-08-27,Northern Ireland,74,22.2,69
2020-08-28,Northern Ireland,83,22.5,85
2020-08-29,Northern Ireland,42,22.5,89
2020-08-30,Northern Ireland,35,21.8,49
2020-08-31,Northern Ireland,52,22.2,58
2020-09-01,Northern Ireland,64,22.2,49
2020-09-02,Northern Ireland,90,23.2,71
2020-09-03,Northern Ireland,105,24.8,77
2020-09-04,Northern Ireland,125,27.1,61
2020-09-05,Northern Ireland,87,29.4,118
2020-09-06,Northern Ireland,94,32.6,106
2020-09-07,Northern Ireland,72,33.6,141
2020-09-08,Northern Ireland,55,33.1,40
2020-09-09,Northern Ireland,98,33.6,49
2020-09-10,Northern Ireland,76,32.0,78
2020-09-11,Northern Ireland,73,29.3,88
2020-09-12,Northern Ireland,102,30.1,104
2020-09-13,Northern Ireland,91,29.9,87
2020-09-14,Northern Ireland,114,32.1,109
2020-09-15,Northern Ireland,107,34.9,79
2020-09-16,Northern Ireland,127,36.4,129
2020-09-17,Northern Ireland,162,40.9,149
2020-09-18,Northern Ireland,164,45.7,163
2020-09-19,Northern Ireland,156,48.6,222
2020-09-20,Northern Ireland,121,50.2,176
2020-09-21,Northern Ireland,133,51.2,125
2020-09-22,Northern Ireland,169,54.4,75
2020-09-23,Northern Ireland,216,59.1,220
2020-09-24,Northern Ireland,274,65.0,189
2020-09-25,Northern Ireland,238,69.0,273
2020-09-26,Northern Ireland,260,74.4,319
2020-09-27,Northern Ireland,268,82.2,187
2020-09-28,Northern Ireland,289,90.4,220
2020-09-29,Northern Ireland,383,101.7,320
2020-09-30,Northern Ireland,634,123.8,424
2020-10-01,Northern Ireland,470,134.1,259
