date,areaName,cases,casesRollingRate,casesReported
2020-03-01,Northern Ireland,,,
2020-03-02,Northern Ireland,,,
2020-03-03,Northern Ireland,,,
2020-03-04,Northern Ireland,,,
2020-03-05,Northern Ireland,2,0.1,
2020-03-06,Northern Ireland,2,0.2,2
2020-03-07,Northern Ireland,5,0.5,2
2020-03-08,Northern Ireland,3,0.6,5
2020-03-09,Northern Ireland,3,0.8,3
2020-03-10,Northern Ireland,5,1.1,0
2020-03-11,Northern Ireland,11,1.6,2
2020-03-12,Northern Ireland,4,1.7,1
2020-03-13,Northern Ireland,11,2.2,10
2020-03-14,Northern Ireland,10,2.5,5
2020-03-15,Northern Ireland,2,2.4,11
2020-03-16,Northern Ireland,8,2.7,7
2020-03-17,Northern Ireland,8,2.8,10
2020-03-18,Northern Ireland,13,3.0,6
2020-03-19,Northern Ireland,14,3.5,9
2020-03-20,Northern Ireland,17,3.8,9
2020-03-21,Northern Ireland,20,4.3,22
2020-03-22,Northern Ireland,18,5.2,20
2020-03-23,Northern Ireland,41,6.9,20
2020-03-24,Northern Ireland,40,8.6,24
2020-03-25,Northern Ireland,56,10.9,37
2020-03-26,Northern Ireland,76,14.1,32
2020-03-27,Northern Ireland,67,16.8,34
2020-03-28,Northern Ireland,76,19.7,49
2020-03-29,Northern Ireland,61,22.0,86
2020-03-30,Northern Ireland,83,24.2,123
2020-03-31,Northern Ireland,111,28.0,53
2020-04-01,Northern Ireland,100,30.3,103
2020-04-02,Northern Ireland,104,31.8,85
2020-04-03,Northern Ireland,102,33.6,130
2020-04-04,Northern Ireland,85,34.1,94
2020-04-05,Northern Ireland,60,34.0,91
2020-04-06,Northern Ireland,104,35.1,69
2020-04-07,Northern Ireland,129,36.1,97
2020-04-08,Northern Ireland,102,36.2,84
2020-04-09,Northern Ireland,98,35.9,138
2020-04-10,Northern Ireland,94,35.5,112
2020-04-11,Northern Ireland,67,34.5,128
2020-04-12,Northern Ireland,73,35.2,89
2020-04-13,Northern Ireland,106,35.3,76
2020-04-14,Northern Ireland,94,33.4,85
2020-04-15,Northern Ireland,132,35.0,121
2020-04-16,Northern Ireland,137,37.1,113
2020-04-17,Northern Ireland,154,40.3,137
2020-04-18,Northern Ireland,84,41.1,148
2020-04-19,Northern Ireland,41,39.5,159
2020-04-20,Northern Ireland,112,39.8,83
2020-04-21,Northern Ireland,129,41.6,30
2020-04-22,Northern Ireland,95,39.7,116
2020-04-23,Northern Ireland,72,36.2,142
2020-04-24,Northern Ireland,82,32.4,106
2020-04-25,Northern Ireland,52,30.8,104
2020-04-26,Northern Ireland,44,30.9,82
2020-04-27,Northern Ireland,71,28.8,66
2020-04-28,Northern Ireland,72,25.7,34
2020-04-29,Northern Ireland,90,25.5,55
2020-04-30,Northern Ireland,114,27.7,73
2020-05-01,Northern Ireland,95,28.4,87
2020-05-02,Northern Ireland,88,30.3,66
2020-05-03,Northern Ireland,51,30.7,78
2020-05-04,Northern Ireland,73,30.8,69
2020-05-05,Northern Ireland,69,30.6,45
2020-05-06,Northern Ireland,79,30.0,53
2020-05-07,Northern Ireland,96,29.1,50
2020-05-08,Northern Ireland,71,27.8,38
2020-05-09,Northern Ireland,53,26.0,56
2020-05-10,Northern Ireland,60,26.4,41
2020-05-11,Northern Ireland,74,26.5,30
2020-05-12,Northern Ireland,88,27.5,44
2020-05-13,Northern Ireland,73,27.2,60
2020-05-14,Northern Ireland,71,25.9,38
2020-05-15,Northern Ireland,63,25.4,26
2020-05-16,Northern Ireland,39,24.7,40
2020-05-17,Northern Ireland,35,23.4,28
2020-05-18,Northern Ireland,60,22.6,16
2020-05-19,Northern Ireland,70,21.7,20
2020-05-20,Northern Ireland,72,21.6,18
2020-05-21,Northern Ireland,56,20.8,42
2020-05-22,Northern Ireland,33,19.3,23
2020-05-23,Northern Ireland,53,20.0,41
2020-05-24,Northern Ireland,27,19.6,25
2020-05-25,Northern Ireland,38,18.4,39
2020-05-26,Northern Ireland,27,16.1,28
2020-05-27,Northern Ireland,32,14.0,26
2020-05-28,Northern Ireland,27,12.5,16
2020-05-29,Northern Ireland,20,11.8,17
2020-05-30,Northern Ireland,12,9.7,13
2020-05-31,Northern Ireland,25,9.5,7
2020-06-01,Northern Ireland,23,8.8,12
2020-06-02,Northern Ireland,20,8.4,4
2020-06-03,Northern Ireland,11,7.3,8
2020-06-04,Northern Ireland,11,6.4,33
2020-06-05,Northern Ireland,23,6.6,3
2020-06-06,Northern Ireland,8,6.4,14
2020-06-07,Northern Ireland,5,5.3,6
2020-06-08,Northern Ireland,14,4.9,6
2020-06-09,Northern Ireland,11,4.4,3
2020-06-10,Northern Ireland,16,4.6,13
2020-06-11,Northern Ireland,10,4.6,4
2020-06-12,Northern Ireland,10,3.9,16
2020-06-13,Northern Ireland,10,4.0,3
2020-06-14,Northern Ireland,8,4.2,7
2020-06-15,Northern Ireland,19,4.4,4
2020-06-16,Northern Ireland,11,4.4,2
2020-06-17,Northern Ireland,5,3.9,8
2020-06-18,Northern Ireland,7,3.7,1
2020-06-19,Northern Ireland,12,3.8,3
2020-06-20,Northern Ireland,5,3.5,0
2020-06-21,Northern Ireland,3,3.3,4
2020-06-22,Northern Ireland,4,2.5,1
2020-06-23,Northern Ireland,8,2.3,0
2020-06-24,Northern Ireland,4,2.3,2
2020-06-25,Northern Ireland,4,2.1,1
2020-06-26,Northern Ireland,3,1.6,4
2020-06-27,Northern Ireland,4,1.6,2
2020-06-28,Northern Ireland,5,1.7,1
2020-06-29,Northern Ireland,4,1.7,6
2020-06-30,Northern Ireland,2,1.4,3
2020-07-01,Northern Ireland,4,1.4,1
2020-07-02,Northern Ireland,3,1.3,7
2020-07-03,Northern Ireland,8,1.6,4
2020-07-04,Northern Ireland,1,1.4,0
2020-07-05,Northern Ireland,2,1.3,0
2020-07-06,Northern Ireland,7,1.4,0
2020-07-07,Northern Ireland,5,1.6,5
2020-07-08,Northern Ireland,6,1.7,4
2020-07-09,Northern Ireland,5,1.8,3
2020-07-10,Northern Ireland,4,1.6,4
2020-07-11,Northern Ireland,6,1.8,0
2020-07-12,Northern Ireland,4,2.0,0
2020-07-13,Northern Ireland,3,1.7,0
2020-07-14,Northern Ireland,7,1.8,2
2020-07-15,Northern Ireland,15,2.3,9
2020-07-16,Northern Ireland,19,3.1,16
2020-07-17,Northern Ireland,8,3.3,19
2020-07-18,Northern Ireland,6,3.3,0
2020-07-19,Northern Ireland,3,3.2,0
2020-07-20,Northern Ireland,3,3.2,0
2020-07-21,Northern Ireland,12,3.5,2
2020-07-22,Northern Ireland,8,3.1,9
2020-07-23,Northern Ireland,12,2.7,8
2020-07-24,Northern Ireland,13,3.0,15
2020-07-25,Northern Ireland,4,2.9,0
2020-07-26,Northern Ireland,1,2.8,0
2020-07-27,Northern Ireland,11,3.2,0
2020-07-28,Northern Ireland,13,3.3,9
2020-07-29,Northern Ireland,10,3.4,9
2020-07-30,Northern Ireland,10,3.3,8
2020-07-31,Northern Ireland,12,3.2,10
2020-08-01,Northern Ireland,10,3.5,0
2020-08-02,Northern Ireland,8,3.9,0
2020-08-03,Northern Ireland,18,4.3,0
2020-08-04,Northern Ireland,17,4.5,8
2020-08-05,Northern Ireland,29,5.5,10
2020-08-06,Northern Ireland,17,5.9,43
2020-08-07,Northern Ireland,16,6.1,15
2020-08-08,Northern Ireland,26,6.9,0
2020-08-09,Northern Ireland,25,7.8,0
2020-08-10,Northern Ireland,43,9.1,0
2020-08-11,Northern Ireland,37,10.2,48
2020-08-12,Northern Ireland,39,10.7,29
2020-08-13,Northern Ireland,50,12.5,8
2020-08-14,Northern Ireland,57,14.6,74
2020-08-15,Northern Ireland,21,14.3,65
2020-08-16,Northern Ireland,20,14.1,27
2020-08-17,Northern Ireland,51,14.5,39
2020-08-18,Northern Ireland,42,14.8,41
2020-08-19,Northern Ireland,38,14.7,34
2020-08-20,Northern Ireland,69,15.7,51
2020-08-21,Northern Ireland,78,16.8,20
2020-08-22,Northern Ireland,42,17.9,71
2020-08-23,Northern Ireland,45,19.3,119
2020-08-24,Northern Ireland,45,18.9,10
2020-08-25,Northern Ireland,62,20.0,47
2020-08-26,Northern Ireland,69,21.6,72
2020-08-27,Northern Ireland,73,21.8,69
2020-08-28,Northern Ireland,83,22.1,85
2020-08-29,Northern Ireland,42,22.1,89
2020-08-30,Northern Ireland,35,21.6,49
2020-08-31,Northern Ireland,51,21.9,58
2020-09-01,Northern Ireland,64,22.0,49
2020-09-02,Northern Ireland,90,23.1,71
2020-09-03,Northern Ireland,105,24.8,77
2020-09-04,Northern Ireland,124,27.0,61
2020-09-05,Northern Ireland,87,29.3,118
2020-09-06,Northern Ireland,93,32.4,106
2020-09-07,Northern Ireland,72,33.5,141
2020-09-08,Northern Ireland,55,33.0,40
2020-09-09,Northern Ireland,96,33.3,49
2020-09-10,Northern Ireland,74,31.7,78
2020-09-11,Northern Ireland,71,28.9,88
2020-09-12,Northern Ireland,101,29.6,104
2020-09-13,Northern Ireland,91,29.5,87
2020-09-14,Northern Ireland,114,31.8,109
2020-09-15,Northern Ireland,107,34.5,79
2020-09-16,Northern Ireland,125,36.0,129
2020-09-17,Northern Ireland,161,40.6,149
2020-09-18,Northern Ireland,163,45.5,163
2020-09-19,Northern Ireland,156,48.4,222
2020-09-20,Northern Ireland,118,49.8,176
2020-09-21,Northern Ireland,132,50.8,125
2020-09-22,Northern Ireland,169,54.0,75
2020-09-23,Northern Ireland,216,58.8,220
2020-09-24,Northern Ireland,273,64.7,189
2020-09-25,Northern Ireland,234,68.5,273
2020-09-26,Northern Ireland,257,73.8,319
2020-09-27,Northern Ireland,265,81.6,187
2020-09-28,Northern Ireland,287,89.7,220
2020-09-29,Northern Ireland,379,100.8,320
2020-09-30,Northern Ireland,627,122.5,424
2020-10-01,Northern Ireland,468,132.8,259
