week_ended,week_number,estimated_occurrences
2020-01-03,1,12431
2020-01-10,2,12139
2020-01-17,3,11746
2020-01-24,4,10914
2020-01-31,5,11094
2020-02-07,6,10710
2020-02-14,7,10877
2020-02-21,8,10795
2020-02-28,9,10647
2020-03-06,10,10984
2020-03-13,11,10834
2020-03-20,12,11401
2020-03-27,13,13787
2020-04-03,14,17897
2020-04-10,15,22038
2020-04-17,16,20922
2020-04-24,17,18694
2020-05-01,18,15825
2020-05-08,19,13712
2020-05-15,20,11948
2020-05-22,21,11354
2020-05-29,22,10216
2020-06-05,23,9971
2020-06-12,24,9453
2020-06-19,25,9204
2020-06-26,26,9661
2020-07-03,27,8740
2020-07-10,28,8662
2020-07-17,29,8874
2020-07-24,30,9050
2020-07-31,31,8852
2020-08-07,32,9008
2020-08-14,33,10142
2020-08-21,34,8836
2020-08-28,35,8655
2020-09-04,36,9033
2020-09-11,37,9140
2020-09-18,38,9469
2020-09-25,39,9586
2020-10-02,40,9963
2020-10-09,41,10290
2020-10-16,42,10368
2020-10-23,43,11013
2020-10-30,44,11370
2020-11-06,45,11738
2020-11-13,46,12315
2020-11-20,47,12316
2020-11-27,48,12421
2020-12-04,49,12637
2020-12-11,50,13032
2020-12-18,51,13112
2020-12-25,52,13513
2021-01-01,53,14997
2021-01-08,1,16469
2021-01-15,2,18640
2021-01-22,3,19421
2021-01-29,4,18117
2021-02-05,5,15927
2021-02-12,6,13994
2021-02-19,7,13373
2021-02-26,8,11734
2021-03-05,9,10434
2021-03-12,10,10386
2021-03-19,11,9841
2021-03-26,12,9531
2021-04-02,13,9857
