week_ended,week_number,total_registrations,total_occurrences,covid_registrations,covid_occurrences
2020-01-03,1,787,800,0,0
2020-01-10,2,939,835,0,0
2020-01-17,3,767,713,0,0
2020-01-24,4,723,673,0,0
2020-01-31,5,727,784,0,0
2020-02-07,6,690,743,0,0
2020-02-14,7,728,715,0,0
2020-02-21,8,679,626,0,0
2020-02-28,9,651,643,0,0
2020-03-06,10,652,673,0,0
2020-03-13,11,674,696,0,0
2020-03-20,12,719,688,2,15
2020-03-27,13,719,816,21,73
2020-04-03,14,920,899,134,190
2020-04-10,15,928,1136,304,387
2020-04-17,16,1169,1073,409,413
2020-04-24,17,1124,966,413,345
2020-05-01,18,929,859,281,257
2020-05-08,19,692,761,211,213
2020-05-15,20,772,701,180,144
2020-05-22,21,692,648,134,126
2020-05-29,22,587,627,105,113
2020-06-05,23,700,637,100,71
2020-06-12,24,574,601,57,53
2020-06-19,25,617,566,39,38
2020-06-26,26,552,627,30,27
2020-07-03,27,584,544,35,28
2020-07-10,28,572,554,22,20
2020-07-17,29,550,569,11,9
2020-07-24,30,565,552,7,3
2020-07-31,31,531,547,10,21
2020-08-07,32,563,583,24,23
2020-08-14,33,617,604,14,10
2020-08-21,34,594,581,11,6
2020-08-28,35,591,537,3,1
2020-09-04,36,488,528,4,3
2020-09-11,37,578,525,1,3
2020-09-18,38,555,574,5,8
2020-09-25,39,617,636,12,13
2020-10-02,40,671,617,25,27
2020-10-09,41,638,650,37,55
2020-10-16,42,688,665,47,52
2020-10-23,43,661,661,65,97
2020-10-30,44,712,755,121,132
2020-11-06,45,832,753,166,184
2020-11-13,46,742,798,190,218
2020-11-20,47,848,778,223,206
2020-11-27,48,797,769,218,222
2020-12-04,49,836,854,207,227
2020-12-11,50,814,815,223,221
2020-12-18,51,882,941,256,327
2020-12-25,52,825,887,278,325
2021-01-01,53,727,990,310,393
2021-01-08,1,1198,1015,454,392
2021-01-15,2,1170,1076,467,469
2021-01-22,3,1077,964,447,393
2021-01-29,4,974,897,361,350
2021-02-05,5,903,816,314,252
2021-02-12,6,760,772,216,196
2021-02-19,7,787,755,179,157
2021-02-26,8,759,685,138,125
2021-03-05,9,689,624,103,73
2021-03-12,10,685,612,68,57
2021-03-19,11,621,620,49,45
2021-03-26,12,651,600,32,24
2021-04-02,13,483,558,15,13
2021-04-09,14,576,542,19,13
2021-04-16,15,644,550,14,12
2021-04-23,16,616,594,14,10
2021-04-30,17,582,541,7,3
2021-05-07,18,560,532,5,5
2021-05-14,19,640,581,6,5
2021-05-21,20,605,557,7,6
2021-05-28,21,610,526,3,2
2021-06-04,22,464,548,2,0
2021-06-11,23,636,530,1,1
2021-06-18,24,573,565,0,0
2021-06-25,25,563,524,1,3
2021-07-02,26,569,551,3,1
2021-07-09,27,639,541,3,2
2021-07-16,28,563,554,4,11
2021-07-23,29,638,677,16,16
2021-07-30,30,641,570,13,20
2021-08-06,31,634,603,22,20
2021-08-13,32,645,527,19,11
2021-08-20,33,598,548,18,19
2021-08-27,34,616,567,16,20
2021-09-03,35,542,541,25,39
